title,references
Electronic tracking board reduces ED patient length of stay at Indiana hospital,Press Ganey. Available from: URL:...
Transforming Emergency Care Through an Innovative Tracking Technology: An Emergency Department's Extreme Makeover,
Designing and implementing a computerized tracking system: The experience at one level I trauma center emergency department,
Information management in the emergency department,"T.B TaylorThreats to the healthcare safety netAcademic EM(2001)-::-Banner Good Samaritan Medical Center, Phoenix Arizona, July 2003. Author's personal...-::-T.B TaylorA view of the emergency department of the future(2000)-::-Taylor TB. Empower your ED to make it profitable. Emergency Physicians Monthly. Publication pending; for a...-::-W.N Tierney et al.Physician inpatient order writing on microcomputer workstations. Effects on resource utilizationJAMA(1993)-::-H.L Kundel et al.Reliability of soft-copy versus hard-copy interpretation of emergency department radiographs: a prototype studyAm J Roentgenol(2001)-::-Survey conducted by the author. Summer 2003 by way of an internet list service. Unpublished..."
Variation in communication loads on clinical staff in the emergency department,R. Wilson et al.The Quality in Australian Health Care studyMed J Aust(1995)-::-Australian Health Ministers' Advisory CouncilThe Final Report of the Taskforce on Quality in Australian Health Care(1996)-::-E. Coiera et al.Communication behaviours in a hospital setting: an observational studyBMJ(1998)-::-E. Coiera et al.Communication loads on clinical staff in the emergency departmentMed J Aust(2002)-::-J. Parker et al.Improving clinical communication: a view from psychologyJ Am Med Informatics Assoc(2000)
Providing mobile phones to emergency medicine residents: perceived effects on physician communication and work,
The asthma kiosk: A patient-centered technology for collaborative decision support in the emergency department,"E.C. Nelson et al.Microsystems in health care: Part 2. Creating a rich information environmentJoint Commission Journal on Quality and Safety(2003)-::-C.J. Homer et al.The Consumer Assessment of Health Plan Study (CAHPS) survey of children's health careJoint Commission Journal on Quality Improvement(1999)-::-H. Burstin“Crossing the quality chasm” in emergency medicineAcad Emerg Med(2002)-::-J.M. TeichInformation systems support for emergency medicineAnn Emerg Med(1998)-::-J.M. TeichThe benefits of sharing clinical informationAnn Emerg Med(1998)-::-National Heart, Blood, and Lung InstituteExpert Panel Report 2: Guidelines for the Management of Asthma(1997)-::-E. WagnerOrganizing Care for Patients with Chronic IllnessMillbank Quarterly(1996)-::-R.N. Shiffman et al.A design model for computer-based guideline implementation based on information management servicesJ Am Med Inform Assoc(1999)-::-M.K. Goldstein et al.Implementing clinical practice guidelines while taking account of changing evidence: ATHENA DSS, an easily modifiable decision-support system for managing hypertension in primary careProc AMIA Symp(2000)-::-S.B. Henry et al.A template-based approach to support utilization of clinical practice guidelines within an electronic health recordJ Am Med Inform Assoc(1998)-::-C.M. RulandDecision support for patient preference-based care planning: effects on nursing care and patient outcomesJ Am Med Inform Assoc(1999)-::-J.J. McGowan et al.The senior assessment coupler: point-of-care decision support and data acquisition toolProc AMIA Symp(1999)"
Patient health record on a smart card,"Simon, P., Naszlady, A., Memory card in primary health care, Medinfo, ‘86, pp....-::-Naszlady, A., ESzEM. card—implementation possibilities, AIM Europe ETK VTK SCAN, Hungary, 1992, pp. 37–40 (in...-::-Dick, R.S., Steen, E.B.,The Computer Based Patient Record, National Academy Press, Washington D.C.,...-::-Pernice, A., Doare, H., Rienhoff, O, Healthcare Card Systems, IOS Press, Amsterdam,..."
Adoption of smart cards in the medical sector:: the Canadian experience,"B.A Aubert et al.Development of Measures to Assess Transactional Characteristics of IS OperationsOmega International Journal of Management Science(1996)-::-N.C RamillerPerceived compatibility of information technology innovations among secondary adoptersToward a reassessmentJournal of Engineering and Technology Management(1994)-::-J.G Anderson et al.The diffusion of computer applications in medical settingsMedical Information Science(1984)-::-Dean, J. (1987). Deciding to innovate: How firms justify advanced technology, (p. 165). Cambridge, MA,...-::-R.T FrambachAn integrated model of organizational adoption and diffusion of innovationsEuropean Journal of Marketing(1993)-::-C Fornell et al.Evaluating structural equation models with unobservable variables and measurement errorJournal of Marketing Research(1981)-::-Gagliardi, P., & Compeau, D. (1995) The effects of group presentations on intentions to adopt smart card technology: A...-::-Gopal, A., Bostrom, R., & Chin, W. (1992–1993). Applying Adaptive Structuration Theory to Investigate the Process of...-::-B.L HarrisBecoming deprofessionalizedOne aspect of the staff nurse's perspective on computer–mediated nursing care plansAdvances in Nursing Science(1990)-::-M Hebert et al.Adopting information technology in hospitalsThe relationship between attitudes/expectations and behaviorHospital & Health Services Administration(1994)-::-P.A Herbig et al.Customer acceptanceThe key to successful introductions of innovationsMarketing Intelligence Planning(1992)"
The Strengthening the Reporting of Observational Studies in Epidemiology (STROBE) statement: guidelines for reporting observational studies,
Clinical Policy: Critical Issues in the Evaluation and Management of Adult Patients Presenting to the Emergency Department With Acute Headache,"D.L. Schriger et al.The origins, benefits, harms, and implications of emergency medicine clinical policiesAnn Emerg Med(1993)-::-J.J. Seymour et al.Response of headaches to nonnarcotic analgesics resulting in missed intracranial hemorrhageAm J Emerg Med(1995)-::-J. Abisaab et al.Emergency department presentation of bilateral carotid artery dissections in a postpartum patientAnn Emerg Med(2004)-::-M.L. Mills et al.High yield criteria for urgent cranial computed tomography scansAnn Emerg Med(1986)-::-T.J. Schwedt et al.Thunderclap headacheLancet Neurol(2006)-::-F.H.H. Linn et al.Prospective study of sentinel headache in aneurysmal subarachnoid haemorrhageLancet(1994)-::-E.F. Wijdicks et al.Long-term follow-up of 71 patients with thunderclap headache mimicking subarachnoid haemorrhageLancet(1988)-::-D.O. Selo-Ojeme et al.Aneurysmal subarachnoid haemorrhage in pregnancyEur J Obstet Gynecol Reprod Biol(2004)-::-M.R. DeLashaw et al.Headache and seizure in a young woman postpartumJ Emerg Med(2005)-::-J.A. EdlowDiagnosis of subarachnoid hemorrhage in the emergency departmentEmerg Med Clin North Am(2003)-::-J. van Gijn et al.Subarachnoid haemorrhageLancet(2007)-::-J.A. Edlow et al.Aneurysmal subarachnoid hemorrhage: update for emergency physiciansJ Emerg Med(2008)-::-R.W. EvansComplications of lumbar punctureNeurol Clin(1998)-::-J.J. Perry et al.Is the combination of negative computed tomography result and negative lumbar puncture result sufficient to rule out subarachnoid hemorrhage?Ann Emerg Med(2008)-::-B.M. Boesiger et al.Subarachnoid hemorrhage diagnosis by computed tomography and lumbar puncture: are fifth generation CT scanners better at identifying subarachnoid hemorrhage?J Emerg Med(2005)-::-R.L. Byyny et al.Sensitivity of noncontrast cranial computed tomography for the emergency department diagnosis of subarachnoid hemorrhageAnn Emerg Med(2008)-::-M.K. Lashutka et al.The relation of intracranial pressure to intraocular pressureAnn Emerg Med(2004)-::-A. Field et al.Evaluation of the patient with nontraumatic headache: an evidence-based approachEmerg Med Clin North Am(1999)-::-T.F. Witham et al.Unruptured cerebral aneurysm producing a thunderclap headacheAm J Emerg Med(2000)-::-J.N. Goldstein et al.Headache in United States emergency departments: demographics, work-up and frequency of pathological diagnosesCephalalgia(2006)-::-Clinical policy: critical issues in the evaluation and management of patients presenting to the emergency department with acute headacheAnn Emerg Med(2002)-::-J.J. Perry et al.Attitudes and judgment of emergency physicians in the management of patients with acute headacheAcad Emerg Med(2005)-::-S. DiamondHead pain: diagnosis and managementClin Symp(1994)-::-M.A. MoskowitzNeurogenic inflammation in the pathophysiology and treatment of migraineNeurology(1993)-::-J.W. LanceCurrent concepts of migraine pathogenesisNeurology(1993)-::-S.J. Peroutka5-Hydroxytryptamine receptor subtypes and the pharmacology of migraineNeurology(1993)-::-Evidence-based treatment guidelines for migraine headache in the primary care setting: pharmacological management of acute attacksAmerican Academy of Neurology, 2000-::-D.W. Gross et al.Dihydroergotamine and metoclopramide in the treatment of organic headacheHeadache(1995)-::-R.B. Lipton et al.Sumatriptan relieves migraine-like headaches associated with carbon monoxide exposureHeadache(1997)-::-E. AgostoniHeadache in cerebral venous thrombosisNeurol Sci(2004)-::-E.C. Leira et al.Sumatriptan can alleviate headaches due to carotid artery dissectionHeadache(2001)-::-K. Pfadenhauer et al.The risks of sumatriptan administration in patients with unrecognized subarachnoid haemorrhage (SAH)Cephalalgia(2006)-::-J. RothrockThe perils of misinterpreting a treatment responseHeadache(2005)-::-K.-C. Wang et al.Headache profiles in patients with a dilatated cyst of the cavum septi pellucidiCephalalgia(2004)-::-Practice parameter: neuroimaging in the patient presenting with seizureAnn Emerg Med(1996)-::-R. Fitzpatrick et al.Referrals to neurologists for headaches not due to structural diseaseJ Neurol Neurosurg Psychiatry(1981)-::-Practice parameter: the utility of neuroimaging in the evaluation of headache in patients with normal neurologic examinationsNeurology(1994)-::-Evidence-based guidelines in the primary care setting: neuroimaging in patients with nonacute headacheAmerican Academy of Neurology, 2000-::-Clinical policy for the initial approach to adolescents and adults presenting to the emergency department with a chief complaint of headacheAnn Emerg Med(1996)-::-A. Lledo et al.Acute headache of recent onset and subarachnoid hemorrhage: a prospective studyHeadache(1994)-::-D.W. Harling et al.Thunderclap headache: is it migraine?Cephalalgia(1989)-::-S. Akpek et al.Cost-effectiveness of computed tomography in the evaluation of patients with headacheHeadache(1995)-::-P. Demaerel et al.The role of cranial computed tomography in the diagnostic work-up of headacheHeadache(1996)-::-C.S. Mitchell et al.Computed tomography in the headache patient: is routine evaluation really necessary?Headache(1993)-::-M. Ramirez-Lassepas et al.Predictors of intracranial pathologic findings in patients who seek emergency care because of headacheArch Neurol(1997)"
